"Underlying Name","Expiration Date","Strike Price","Call-Price","Call-Change in Price (%)","Call-Probability of Profit","Call-Open Interest","Call-Volume","Call-Implied Volatility","Greeks: Call Delta","Greeks: Call Theta","Greeks: Call Vega","Greeks: Call Gamma","Greeks: Call Rho","Put-Price","Put-Change in Price (%)","Put-Probability of Profit","Put-Open Interest","Put-Volume","Put-Implied Volatility","Put-Call Ratio","Greeks: Put Delta","Greeks: Put Theta","Greeks: Put Vega","Greeks: Put Gamma","Greeks: Put Rho"
"RELIANCE","27-02-2025","1020.0","197.8","-0.58","99.0","3500.0","1500","0.0","1.0","0.0","0.0","0.0","","0.35","-22.22","1.45","181000.0","44000","41.02","51.7143","-0.0119","-0.1088","0.0743","3.0E-4"
"RELIANCE","27-02-2025","1040.0","0.0","-100.0","99.0","0.0","0","0.0","1.0","0.0","0.0","0.0","","0.45","-30.77","1.56","251500.0","37500","37.11","null","-0.0132","-0.1072","0.0809","4.0E-4"
"RELIANCE","27-02-2025","1060.0","165.0","0.0","46.03","500.0","0","56.15","0.9076","-0.7931","0.3955","0.0012","","0.5","-16.67","1.96","257500.0","128500","34.18","515.0","-0.0169","-0.1225","0.1004","5.0E-4"
"RELIANCE","27-02-2025","1080.0","144.0","0.0","46.39","500.0","0","47.85","0.9097","-0.6643","0.3887","0.0014","","0.7","-17.65","2.7","399500.0","337500","31.74","799.0","-0.0239","-0.1524","0.1344","7.0E-4"
"RELIANCE","27-02-2025","1100.0","120.0","-0.79","48.29","113500.0","25000","29.3","0.9655","-0.1906","0.1821","0.0011","","1.05","-25.0","4.02","1411500.0","682000","29.79","12.4361","-0.0367","-0.2041","0.1919","0.0011"
"RELIANCE","27-02-2025","1110.0","0.0","-100.0","99.0","0.0","0","0.0","1.0","0.0","0.0","0.0","","1.3","-23.53","4.95","296000.0","416500","28.81","null","-0.0459","-0.2367","0.2301","0.0014"
"RELIANCE","27-02-2025","1120.0","105.0","-38.24","45.92","500.0","3000","39.06","0.874","-0.6895","0.4942","0.0022","","1.6","-21.95","6.02","625500.0","651000","27.83","1251.0","-0.0569","-0.2712","0.2729","0.0017"
"RELIANCE","27-02-2025","1130.0","97.6","10.41","44.91","5500.0","1000","40.77","0.8388","-0.8501","0.5838","0.0025","","1.95","-22.0","7.0","481500.0","665500","26.37","87.5455","-0.0676","-0.2938","0.312","0.0021"
"RELIANCE","27-02-2025","1140.0","81.0","-5.76","47.68","34500.0","29500","24.17","0.9249","-0.2919","0.3381","0.0025","","2.55","-23.88","9.0","716500.0","1203500","25.88","20.7681","-0.0889","-0.3552","0.3843","0.0026"
"RELIANCE","27-02-2025","1150.0","72.6","-4.41","46.66","171000.0","57000","25.63","0.8821","-0.4317","0.4716","0.0032","","3.3","-21.43","10.95","1338000.0","1858500","24.9","7.8246","-0.1114","-0.4029","0.453","0.0032"
"RELIANCE","27-02-2025","1160.0","63.45","-4.87","46.01","480500.0","104000","24.41","0.8558","-0.4728","0.5422","0.0039","","4.3","-18.87","13.56","1182000.0","1831000","24.17","2.4599","-0.1425","-0.4642","0.5377","0.0039"
"RELIANCE","27-02-2025","1170.0","54.9","-5.91","44.97","145500.0","105500","23.93","0.8157","-0.5433","0.6358","0.0047","","5.55","-17.16","16.38","781000.0","1456000","23.32","5.3677","-0.1784","-0.5188","0.623","0.0047"
"RELIANCE","27-02-2025","1180.0","46.35","-6.55","43.79","203500.0","261500","22.95","0.7721","-0.591","0.7211","0.0055","","7.4","-12.94","19.88","1429500.0","2310000","22.71","7.0246","-0.2264","-0.5826","0.7185","0.0056"
"RELIANCE","27-02-2025","1190.0","38.95","-7.81","41.88","186000.0","253500","22.71","0.7135","-0.6589","0.8125","0.0063","","9.55","-10.75","23.68","749500.0","1642000","22.22","4.0296","-0.2826","-0.6405","0.8073","0.0064"
"RELIANCE","27-02-2025","1200.0","31.8","-9.53","39.57","2055500.0","2708000","22.34","0.647","-0.7076","0.8869","0.007","","12.5","-7.75","27.75","4390000.0","4954000","21.85","2.1357","-0.3488","-0.6892","0.8832","0.0071"
"RELIANCE","27-02-2025","1210.0","25.15","-11.44","36.84","807000.0","3055500","21.61","0.5763","-0.7214","0.9348","0.0076","","15.75","-6.53","31.62","967500.0","3066500","21.12","1.1989","-0.4208","-0.7041","0.9336","0.0078"
"RELIANCE","27-02-2025","1220.0","19.65","-13.05","33.41","2431000.0","9833000","21.24","0.4989","-0.7224","0.9523","0.0079","","20.1","-3.37","35.61","2011500.0","4739000","20.51","0.8274","-0.5018","-0.6975","0.9523","0.0081"
"RELIANCE","27-02-2025","1230.0","14.7","-15.76","29.49","2013000.0","5725000","20.69","0.4186","-0.689","0.9324","0.0079","","25.25","-2.13","39.04","1057500.0","1934000","20.14","0.5253","-0.5824","-0.6705","0.932","0.0081"
"RELIANCE","27-02-2025","1240.0","11.05","-17.23","25.38","2995000.0","5165500","20.63","0.3436","-0.6471","0.8783","0.0075","","31.45","-0.47","42.02","1477000.0","1212000","19.9","0.4932","-0.6623","-0.62","0.8725","0.0077"
"RELIANCE","27-02-2025","1250.0","8.2","-18.81","21.18","4898000.0","6277500","20.75","0.2751","-0.5905","0.7967","0.0067","","38.6","0.39","44.44","2533500.0","800500","20.02","0.5173","-0.7327","-0.5616","0.7855","0.0069"
